event_id,true_label,prediction
0,1,1
1,1,1
2,1,2
3,1,2
4,1,1
5,1,1
6,1,1
7,1,2
8,1,1
9,1,1
10,1,1
11,1,1
12,1,1
13,1,1
14,1,1
15,1,1
16,1,1
17,1,1
18,1,1
19,1,1
20,1,1
21,1,1
22,1,1
23,1,1
24,1,1
25,1,2
26,1,1
27,1,1
28,1,1
29,1,1
30,1,1
31,1,1
32,1,1
33,1,1
34,1,1
35,1,2
36,1,2
37,1,1
38,1,2
39,1,1
40,1,2
41,1,1
42,1,1
43,1,1
44,1,1
45,1,1
46,1,1
47,1,1
48,1,1
49,1,1
50,1,2
51,1,1
52,1,1
53,1,1
54,1,1
55,1,1
56,1,2
57,1,2
58,1,1
59,1,1
60,1,1
61,1,1
62,1,1
63,1,1
64,1,1
65,1,1
66,1,2
67,1,1
68,1,1
69,1,1
70,1,1
71,1,1
72,1,2
73,1,1
74,1,1
75,1,1
76,1,1
77,1,1
78,1,1
79,1,1
80,1,1
81,1,1
82,1,1
83,1,1
84,1,1
85,1,1
86,1,1
87,1,1
88,1,1
89,1,1
90,1,2
91,1,2
92,1,1
93,1,1
94,1,1
95,1,1
96,1,2
97,1,1
98,1,2
99,1,1
100,1,1
101,1,1
102,1,1
103,1,1
104,1,1
105,1,1
106,1,1
107,1,1
108,1,1
109,1,1
110,1,2
111,1,1
112,1,1
113,1,1
114,1,2
115,1,1
116,1,1
117,1,1
118,1,1
119,1,1
120,1,2
121,1,1
122,1,2
123,1,2
124,1,1
125,1,1
126,1,1
127,1,2
128,1,1
129,1,1
130,1,2
131,1,2
132,1,1
133,1,1
134,1,2
135,1,1
136,1,1
137,1,1
138,1,1
139,1,1
140,1,1
141,1,1
142,1,1
143,1,1
144,1,1
145,1,2
146,1,1
147,1,1
148,1,1
149,1,1
150,1,1
151,1,1
152,1,1
153,1,1
154,1,1
155,1,1
156,1,1
157,1,1
158,1,1
159,1,1
160,1,1
161,1,1
162,1,1
163,1,1
164,1,1
165,1,1
166,1,1
167,1,2
168,1,1
169,1,1
170,1,1
171,1,1
172,1,1
173,1,1
174,1,1
175,1,1
176,1,1
177,1,1
178,1,1
179,1,1
180,1,1
181,1,1
182,1,1
183,1,1
184,1,1
185,1,1
186,1,1
187,1,1
188,1,1
189,1,1
190,1,1
191,1,1
192,1,1
193,1,1
194,1,1
195,1,1
196,1,1
197,1,1
198,1,1
199,1,1
200,1,1
201,1,1
202,1,1
203,1,2
204,1,1
205,1,1
206,1,1
207,1,1
208,1,1
209,1,1
210,1,1
211,1,1
212,1,1
213,1,1
214,1,1
215,1,2
216,1,1
217,1,1
218,1,1
219,1,1
220,1,1
221,1,1
222,1,1
223,1,1
224,1,1
225,1,1
226,1,1
227,1,0
228,1,1
229,1,1
230,1,1
231,1,2
232,1,1
233,1,1
234,1,2
235,1,1
236,1,1
237,1,1
238,1,1
239,1,2
240,1,1
241,1,1
242,1,1
243,1,2
244,1,1
245,1,1
246,1,1
247,1,1
248,1,1
249,1,2
250,1,1
251,1,1
252,1,1
253,1,1
254,1,1
255,1,1
256,1,1
257,1,1
258,1,1
259,1,1
260,1,1
261,1,2
262,1,1
263,1,1
264,1,1
265,1,1
266,1,1
267,1,2
268,1,1
269,1,2
270,1,1
271,1,1
272,1,1
273,1,1
274,1,1
275,1,1
276,1,1
277,1,2
278,1,1
279,1,1
280,1,1
281,1,2
282,1,1
283,1,1
284,1,1
285,1,2
286,1,1
287,1,1
288,1,0
289,1,1
290,1,1
291,1,1
292,1,1
293,1,1
294,1,1
295,1,2
296,1,1
297,1,1
298,1,1
299,1,2
300,1,1
301,1,1
302,1,1
303,1,1
304,1,1
305,1,2
306,1,2
307,1,1
308,1,1
309,1,1
310,1,1
311,1,1
312,1,2
313,1,1
314,1,1
315,1,1
316,1,2
317,1,1
318,1,1
319,1,1
320,1,1
321,1,1
322,1,1
323,1,2
324,1,1
325,1,1
326,1,1
327,1,1
328,1,1
329,1,1
330,1,1
331,1,1
332,1,1
333,1,2
334,1,2
335,1,2
336,1,1
337,1,1
338,1,1
339,1,1
340,1,1
341,1,1
342,1,1
343,1,1
344,1,2
345,1,1
346,1,1
347,1,1
348,1,1
349,1,1
350,1,2
351,1,1
352,1,1
353,1,1
354,1,2
355,1,2
356,1,1
357,1,1
358,1,2
359,1,1
360,1,2
361,1,1
362,1,1
363,1,1
364,1,1
365,1,1
366,1,2
367,1,1
368,1,1
369,1,1
370,1,1
371,1,1
372,1,2
373,1,1
374,1,2
375,1,1
376,1,1
377,1,1
378,1,1
379,1,2
380,1,1
381,1,1
382,1,2
383,1,2
384,1,1
385,1,2
386,1,2
387,1,1
388,1,1
389,1,1
390,1,1
391,1,1
392,1,1
393,1,1
394,1,1
395,1,1
396,1,1
397,1,1
398,1,1
399,1,0
400,1,2
401,1,1
402,1,1
403,1,2
404,1,1
405,1,1
406,1,1
407,1,1
408,1,1
409,1,1
410,1,1
411,1,1
412,1,1
413,1,1
414,1,2
415,1,1
416,1,1
417,1,1
418,1,2
419,1,1
420,1,2
421,1,1
422,1,1
423,1,0
424,1,1
425,1,1
426,1,1
427,1,1
428,1,1
429,1,1
430,1,1
431,1,1
432,1,1
433,1,1
434,1,1
435,1,2
436,1,1
437,1,1
438,1,1
439,1,1
440,1,1
441,1,1
442,1,1
443,1,1
444,1,1
445,1,1
446,1,2
447,1,1
448,1,1
449,1,1
450,1,2
451,1,2
452,1,1
453,1,1
454,1,1
455,1,1
456,1,1
457,1,1
458,1,1
459,1,1
460,1,1
461,1,1
462,1,1
463,1,1
464,1,1
465,1,1
466,1,1
467,1,1
468,1,1
469,1,1
470,1,1
471,1,1
472,1,1
473,1,1
474,1,1
475,1,2
476,1,2
477,1,1
478,1,1
479,1,1
480,1,1
481,1,1
482,1,2
483,1,1
484,1,1
485,1,2
486,1,1
487,1,1
488,1,1
489,1,2
490,1,2
491,1,1
492,1,1
493,1,1
494,1,2
495,1,1
496,1,2
497,1,1
498,1,1
499,1,1
500,1,1
501,1,1
502,1,2
503,1,1
504,1,1
505,1,1
506,1,1
507,1,1
508,1,2
509,1,1
510,1,2
511,1,1
512,1,1
513,1,1
514,1,1
515,1,1
516,1,0
517,1,1
518,1,1
519,1,1
520,1,1
521,1,1
522,1,1
523,1,1
524,1,1
525,1,1
526,1,1
527,1,1
528,1,1
529,1,1
530,1,1
531,1,1
532,1,2
533,1,2
534,1,2
535,1,2
536,1,2
537,1,1
538,1,1
539,1,1
540,1,2
541,1,1
542,1,1
543,1,1
544,1,1
545,1,1
546,1,1
547,1,1
548,1,1
549,1,1
550,1,1
551,1,1
552,1,1
553,1,2
554,1,2
555,1,1
556,1,1
557,1,1
558,1,2
559,1,1
560,1,2
561,1,1
562,1,1
563,1,1
564,1,1
565,1,1
566,1,1
567,1,1
568,1,1
569,1,1
570,1,1
571,1,2
572,1,1
573,1,1
574,1,1
575,1,1
576,1,1
577,1,1
578,1,2
579,1,1
580,1,1
581,1,1
582,1,1
583,1,1
584,1,1
585,1,2
586,1,1
587,1,1
588,1,1
589,1,1
590,1,1
591,1,1
592,1,1
593,1,2
594,1,1
595,1,1
596,1,1
597,1,1
598,1,1
599,1,1
600,1,1
601,1,2
602,1,1
603,1,1
604,1,1
605,1,1
606,1,1
607,1,2
608,1,1
609,1,1
610,1,1
611,1,1
612,1,1
613,1,1
614,1,1
615,1,1
616,1,1
617,1,1
618,1,1
619,1,2
620,1,1
621,1,0
622,1,1
623,1,1
624,1,1
625,1,1
626,1,1
627,1,1
628,1,0
629,1,1
630,1,1
631,1,0
632,1,1
633,1,1
634,1,1
635,1,1
636,1,1
637,1,1
638,1,1
639,1,1
640,1,1
641,1,1
642,1,2
643,1,1
644,1,1
645,1,1
646,1,1
647,1,1
648,1,2
649,1,1
650,1,1
651,1,1
652,1,1
653,1,1
654,1,1
655,1,2
656,1,0
657,1,1
658,1,1
659,1,1
660,1,1
661,1,1
662,1,1
663,1,1
664,1,2
665,1,1
666,1,2
667,1,1
668,1,1
669,1,1
670,1,1
671,1,1
672,1,0
673,1,2
674,1,1
675,1,1
676,1,0
677,1,1
678,1,1
679,1,1
680,1,2
681,1,1
682,1,1
683,1,1
684,1,1
685,1,1
686,1,2
687,1,1
688,1,1
689,1,2
690,1,1
691,1,1
692,1,1
693,1,1
694,1,1
695,1,2
696,1,2
697,1,1
698,1,1
699,1,1
700,1,0
701,1,0
702,1,2
703,1,1
704,1,1
705,1,1
706,1,2
707,1,1
708,1,1
709,1,1
710,1,1
711,1,1
712,1,0
713,1,1
714,1,1
715,1,2
716,1,1
717,1,2
718,1,1
719,1,1
720,1,1
721,1,1
722,1,2
723,1,1
724,1,1
725,1,1
726,1,1
727,1,1
728,1,2
729,1,1
730,1,2
731,1,2
732,1,2
733,1,1
734,1,1
735,1,1
736,1,2
737,1,1
738,1,1
739,1,1
740,1,2
741,1,1
742,1,2
743,1,1
744,1,1
745,1,1
746,1,1
747,1,1
748,1,1
749,1,1
750,1,1
751,1,1
752,1,1
753,1,2
754,1,2
755,1,1
756,1,1
757,1,2
758,1,1
759,1,1
760,1,1
761,1,1
762,1,1
763,1,2
764,1,1
765,1,2
766,1,1
767,1,1
768,1,1
769,1,1
770,1,1
771,1,1
772,1,1
773,1,1
774,1,1
775,1,1
776,1,1
777,1,2
778,1,1
779,1,1
780,1,2
781,1,1
782,1,1
783,1,2
784,1,1
785,1,1
786,1,1
787,1,2
788,1,2
789,1,1
790,1,1
791,1,2
792,1,2
793,1,1
794,1,1
795,1,1
796,1,1
797,1,1
798,1,1
799,1,1
800,1,1
801,1,2
802,1,1
803,1,1
804,1,1
805,1,1
806,1,1
807,1,1
808,1,1
809,1,1
810,1,2
811,1,1
812,1,1
813,1,1
814,1,1
815,1,1
816,1,1
817,1,1
818,1,2
819,1,1
820,1,2
821,1,2
822,1,1
823,1,1
824,1,1
825,1,1
826,1,1
827,1,1
828,1,2
829,1,2
830,1,2
831,1,1
832,1,1
833,1,1
834,1,1
835,1,1
836,1,1
837,1,2
838,1,2
839,1,1
840,1,1
841,1,1
842,1,1
843,1,1
844,1,1
845,1,1
846,1,1
847,1,2
848,1,1
849,1,1
850,1,1
851,1,1
852,1,2
853,1,1
854,1,1
855,1,1
856,1,2
857,1,1
858,1,1
859,1,1
860,1,0
861,1,1
862,1,1
863,1,1
864,1,1
865,1,1
866,1,1
867,1,1
868,1,1
869,1,1
870,1,1
871,1,1
872,1,1
873,1,1
874,1,1
875,1,2
876,1,1
877,1,1
878,1,1
879,1,1
880,1,1
881,1,1
882,1,1
883,1,1
884,1,1
885,1,1
886,1,1
887,1,1
888,1,1
889,1,1
890,1,1
891,1,1
892,1,2
893,1,1
894,1,1
895,1,1
896,1,2
897,1,1
898,1,1
899,1,1
900,1,0
901,1,1
902,1,2
903,1,1
904,1,1
905,1,1
906,1,1
907,1,1
908,1,1
909,1,1
910,1,1
911,1,2
912,1,1
913,1,1
914,1,1
915,1,1
916,1,1
917,1,1
918,1,1
919,1,1
920,1,1
921,1,1
922,1,1
923,1,1
924,1,1
925,1,1
926,1,1
927,1,1
928,1,1
929,1,2
930,1,0
931,1,0
932,1,0
933,1,1
934,1,0
935,1,0
936,1,0
937,1,0
938,1,1
939,1,0
940,1,1
941,1,0
942,1,0
943,1,0
944,1,0
945,1,0
946,1,1
947,1,0
948,1,0
949,1,0
950,1,1
951,1,1
952,1,1
953,1,0
954,1,1
955,1,1
956,1,1
957,1,1
958,1,0
959,1,0
960,1,0
961,1,0
962,1,0
963,1,1
964,1,0
965,1,0
966,1,1
967,1,0
968,1,0
969,1,1
970,1,1
971,1,1
972,1,0
973,1,1
974,1,1
975,1,1
976,1,0
977,1,1
978,1,1
979,1,0
980,1,0
981,1,1
982,1,0
983,1,1
984,1,1
985,1,0
986,1,0
987,1,1
988,1,0
989,1,0
990,1,0
991,1,1
992,1,0
993,1,0
994,1,0
995,1,1
996,1,0
997,1,0
998,1,0
999,1,1
1000,1,0
1001,1,0
1002,1,1
1003,1,1
1004,1,0
1005,1,0
1006,1,0
1007,1,0
1008,1,0
1009,1,1
1010,1,0
1011,1,1
1012,1,1
1013,1,1
1014,1,0
1015,1,1
1016,1,0
1017,1,0
1018,1,0
1019,1,0
1020,1,0
1021,1,0
1022,1,0
1023,1,0
1024,1,0
1025,1,1
1026,1,1
1027,1,0
1028,1,0
1029,1,0
1030,1,0
1031,1,0
1032,1,1
1033,1,1
1034,1,0
1035,1,0
1036,1,0
1037,1,0
1038,1,0
1039,1,0
1040,1,0
1041,1,1
1042,1,0
1043,1,0
1044,1,0
1045,1,0
1046,1,1
1047,1,1
1048,1,1
1049,1,1
1050,1,0
1051,1,1
1052,1,1
1053,1,1
1054,1,0
1055,1,0
1056,1,0
1057,1,0
1058,1,1
1059,1,1
1060,1,1
1061,1,0
1062,1,0
1063,1,0
1064,1,1
1065,1,0
1066,1,0
1067,1,0
1068,1,0
1069,1,0
1070,1,1
1071,1,1
1072,1,1
1073,1,0
1074,1,0
1075,1,0
1076,1,0
1077,1,0
1078,1,0
1079,1,0
1080,1,1
1081,1,1
1082,1,0
1083,1,0
1084,1,0
1085,1,0
1086,1,0
1087,1,0
1088,1,0
1089,1,0
1090,1,0
1091,1,0
1092,1,1
1093,1,1
1094,1,2
1095,1,0
1096,1,1
1097,1,0
1098,1,0
1099,1,0
1100,1,0
1101,1,0
1102,1,1
1103,1,0
1104,1,0
1105,1,1
1106,1,0
1107,1,0
1108,1,1
1109,1,1
1110,1,0
1111,1,0
1112,1,1
1113,1,0
1114,1,1
1115,1,1
1116,1,0
1117,1,0
1118,1,0
1119,1,1
1120,1,0
1121,1,1
1122,1,0
1123,1,0
1124,1,0
1125,1,0
1126,1,0
1127,1,1
1128,1,0
1129,1,0
1130,1,1
1131,1,1
1132,1,0
1133,1,1
1134,1,0
1135,1,0
1136,1,1
1137,1,0
1138,1,1
1139,1,0
1140,1,0
1141,1,1
1142,1,0
1143,1,1
1144,1,0
1145,1,0
1146,1,0
1147,1,0
1148,1,0
1149,1,0
1150,1,1
1151,1,0
1152,1,1
1153,1,1
1154,1,0
1155,1,0
1156,1,0
1157,1,0
1158,1,0
1159,1,1
1160,1,0
1161,1,0
1162,1,0
1163,1,0
1164,1,1
1165,1,0
1166,1,0
1167,1,1
1168,1,1
1169,1,1
1170,1,1
1171,1,1
1172,1,0
1173,1,1
1174,1,1
1175,1,0
1176,1,1
1177,1,1
1178,1,0
1179,1,1
1180,1,0
1181,1,0
1182,1,0
1183,1,0
1184,1,0
1185,1,0
1186,1,0
1187,1,0
1188,1,0
1189,1,0
1190,1,0
1191,1,0
1192,1,1
1193,1,0
1194,1,1
1195,1,0
1196,1,1
1197,1,0
1198,1,0
1199,1,1
1200,1,0
1201,1,0
1202,1,1
1203,1,0
1204,1,0
1205,1,1
1206,1,1
1207,1,0
1208,1,1
1209,1,0
1210,1,1
1211,1,0
1212,1,1
1213,1,0
1214,1,0
1215,1,1
1216,1,0
1217,1,1
1218,1,1
1219,1,0
1220,1,0
1221,1,0
1222,1,0
1223,1,1
1224,1,0
1225,1,1
1226,1,0
1227,1,0
1228,1,1
1229,1,0
1230,1,1
1231,1,0
1232,1,1
1233,1,0
1234,1,1
1235,1,0
1236,1,0
1237,1,1
1238,1,1
1239,1,0
1240,1,0
1241,1,0
1242,1,0
1243,1,1
1244,1,0
1245,1,0
1246,1,1
1247,1,0
1248,1,0
1249,1,0
1250,1,1
1251,1,0
1252,1,0
1253,1,0
1254,1,1
1255,1,0
1256,1,0
1257,1,0
1258,1,1
1259,1,0
1260,1,1
1261,1,1
1262,1,0
1263,1,0
1264,1,0
1265,1,0
1266,1,0
1267,1,1
1268,1,0
1269,1,1
1270,1,0
1271,1,0
1272,1,0
1273,1,0
1274,1,0
1275,1,1
1276,1,0
1277,1,1
1278,1,0
1279,1,1
1280,1,0
1281,1,0
1282,1,0
1283,1,0
1284,1,0
1285,1,0
1286,1,1
1287,1,0
1288,1,1
1289,1,0
1290,1,1
1291,1,0
1292,1,1
1293,1,0
1294,1,1
1295,1,1
1296,1,0
1297,1,1
1298,1,0
1299,1,1
1300,1,0
1301,1,0
1302,1,0
1303,1,1
1304,1,0
1305,1,0
1306,1,0
1307,1,1
1308,1,0
1309,1,0
1310,1,1
1311,1,0
1312,1,0
1313,1,1
1314,1,0
1315,1,1
1316,1,1
1317,1,1
1318,1,0
1319,1,1
1320,1,1
1321,1,1
1322,1,0
1323,1,0
1324,1,1
1325,1,1
1326,1,0
1327,1,0
1328,1,1
1329,1,0
1330,1,0
1331,1,0
1332,1,1
1333,1,0
1334,1,1
1335,1,0
1336,1,0
1337,1,1
1338,1,1
1339,1,1
1340,1,0
1341,1,1
1342,1,0
1343,1,0
1344,1,1
1345,1,0
1346,1,1
1347,1,1
1348,1,0
1349,1,0
1350,1,0
1351,1,1
1352,1,1
1353,1,0
1354,1,0
1355,1,1
1356,1,1
1357,1,1
1358,1,1
